Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000006550,,R004002,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-1/10,,,IN,,
000000006551,,R004002,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-2/10,,,IN,,
000000006552,,R004002,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-3/10,,,IN,,
000000006553,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-4/10,,,IN,,
000000006554,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-5/10,,,IN,,
000000006555,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-6/10,,,IN,,
000000006556,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-7/10,,,IN,,
000000006557,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-8/10,,,IN,,
000000006558,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-9/10,,,IN,,
000000006559,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-07~07-10/10,,,IN,,
000000006560,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-08~08-1/7,,,IN,,
000000006561,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-08~08-2/7,,,IN,,
000000006562,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-08~08-3/7,,,IN,,
000000006563,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-08~08-4/7,,,IN,,
000000006564,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-08~08-5/7,,,IN,,
000000006565,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-08~08-6/7,,,IN,,
000000006566,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-08~08-7/7,,,IN,,
000000006567,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-1/11,,,IN,,
000000006568,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-2/11,,,IN,,
000000006569,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-3/11,,,IN,,
000000006570,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-4/11,,,IN,,
000000006571,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-5/11,,,IN,,
000000006572,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-6/11,,,IN,,
000000006573,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-7/11,,,IN,,
000000006574,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-8/11,,,IN,,
000000006575,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-9/11,,,IN,,
000000006576,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-10/11,,,IN,,
000000006577,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-09~09-11/11,,,IN,,
000000006578,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-1/12,,,IN,,
000000006579,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-2/12,,,IN,,
000000006580,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-3/12,,,IN,,
000000006581,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-4/12,,,IN,,
000000006582,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-5/12,,,IN,,
000000006583,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-6/12,,,IN,,
000000006584,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-7/12,,,IN,,
000000006585,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-8/12,,,IN,,
000000006586,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-9/12,,,IN,,
000000006587,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-10/12,,,IN,,
000000006588,,R004003,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-10~10-11/12,,,IN,,
