Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000005263,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-02~02-1/4 ,,,IN,,
000000005264,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-02~02-2/4 ,,,IN,,
000000005265,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-02~02-3/4,,,IN,,
000000005266,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-02~02-4/4,,,IN,,
000000005267,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-1/8 ,,,IN,,
000000005268,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-2/8 ,,,IN,,
000000005269,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-3/8 ,,,IN,,
000000005270,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-4/8,,,IN,,
000000005271,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-5/8,,,IN,,
000000005272,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-6/8,,,IN,,
000000005273,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-7/8,,,IN,,
000000005274,,R004001,90185-ZARA SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-8/8,,,IN,,
000000005275,,S004003,90304-MD SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-1/3 ,,,IN,,
000000005276,,S004003,90304-MD SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-2/3 ,,,IN,,
000000005277,,S004003,90304-MD SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-02~02-3/3 ,,,IN,,
000000005278,,S001001,90344-OYSHO SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-2/3 ,,,IN,,
000000005279,,S001001,90344-OYSHO SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-3/3 ,,,IN,,
000000005280,,S002004,90346-ZARA HOME,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-1/3 ,,,IN,,
000000005281,,S002004,90346-ZARA HOME,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-2/3 ,,,IN,,
000000005282,,S002004,90346-ZARA HOME,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-3/3 ,,,IN,,
000000005283,,R001001,90269-PB BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2018-03~03-1/3 ,,,IN,,
000000005284,,R001001,90269-PB BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2018-03~03-2/3 ,,,IN,,
000000005285,,R001001,90269-PB BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2018-03~03-3/3 ,,,IN,,
000000005286,,S003001,90389-E-COM,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-1/2 ,,,IN,,
000000005287,,S003001,90389-E-COM,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-2/2 ,,,IN,,
000000005291,,R002003,90268-BSK BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2018-03~03-1/3 ,,,IN,,
000000005292,,R002003,90268-BSK BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2018-03~03-2/3 ,,,IN,,
000000005293,,R002003,90268-BSK BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2018-03~03-3/3 ,,,IN,,
000000005294,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-1/3 ,,,IN,,
000000005295,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-2/3 ,,,IN,,
000000005296,,S003005,90312-STR SH,Accounting-AP,APG,SH,APG AP accounting voucher 2018-03~03-3/3 ,,,IN,,
000000005297,,R003003,90204-ZARA BJ,Accounting-AP,APG,BJ,APG AP accounting voucher 2018-03~03-1/4 ,,,IN,,
