Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return day,Status
4240,1,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-01~01-1/4 ,,IN
4241,2,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-01~01-2/4 ,,IN
4242,3,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-01~01-3/4 ,,IN
4243,4,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-01~01-4/4 ,,IN
4244,5,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-02~02-1/4 ,,IN
4245,6,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-02~02-2/4 ,,IN
4246,7,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-02~02-3/4 ,,IN
4247,8,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-02~02-4/4 ,,IN
4248,9,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-03~03-1/4 ,,IN
4249,10,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-03~03-2/4 ,,IN
4250,11,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-03~03-3/4 ,,IN
4251,12,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-03~03-4/4 ,,IN
4252,13,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-04~04-1/4 ,,IN
4253,14,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-04~04-2/4 ,,IN
4254,15,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-04~04-3/4 ,,IN
4255,16,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-04~04-4/4 ,,IN
4256,17,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-05~05-1/4 ,,IN
4257,18,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-05~05-2/4 ,,IN
4258,19,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-05~05-3/4 ,,IN
4259,20,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-05~05-4/4 ,,IN
4260,21,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-06~06-1/4 ,,IN
4261,22,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-06~06-2/4 ,,IN
4262,23,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-06~06-3/4 ,,IN
4263,24,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-06~06-4/4 ,,IN
4264,25,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-07~07-1/3 ,,IN
4265,26,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-07~07-2/3 ,,IN
4266,27,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-07~07-3/3 ,,IN
4267,28,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-08~08-1/3 ,,IN
4268,29,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-08~08-2/3 ,,IN
4269,30,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-08~08-3/3 ,,IN
4270,31,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-09~09-1/3 ,,IN
4271,32,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-09~09-2/3 ,,IN
4272,33,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-09~09-3/3 ,,IN
4273,34,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-10~10-1/3 ,,IN
4274,35,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-10~10-2/3 ,,IN
4275,36,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-10~10-3/3 ,,IN
4276,37,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-12~12-1/4 ,,IN
4277,38,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-12~12-2/4 ,,IN
4278,39,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-12~12-3/4 ,,IN
4279,40,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-12~12-4/4 ,,IN
4280,41,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2016-01~12-1/1 ,,IN
4281,42,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-01~03-1/1 ,,IN
4282,43,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-04~06-1/1 ,,IN
4283,44,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-07~09-1/1 ,,IN
4284,45,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Recharge 2017-10~12-1/1 ,,IN
4285,46,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-01~01-1/3 ,,IN
4286,47,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-01~01-2/3 ,,IN
4287,48,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-01~01-3/3 ,,IN
4288,49,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-1/3 ,,IN
4289,50,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-2/3 ,,IN
4290,51,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-02~02-3/3 ,,IN
4291,52,A001004,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2017-03~03-1/2 ,,IN
