Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000004373,,B001001,90304-MD SH,Accounting-GL,API,SH,API 显著标识 2018-10~10-1/1 ,,,,,
000000004374,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-10~10-1/1 ,,,,,
000000004375,,B001001,90304-MD SH,Accounting-GL,API,SH,API 专有技术及技术服务 2018-10~10-1/2 ,,,,,
000000004376,,B001001,90304-MD SH,Accounting-GL,API,SH,API 专有技术及技术服务 2018-10~10-2/2 ,,,,,
000000004377,,B001001,90344-OYSHO SH,Accounting-GL,API,SH,API 显著标识 2018-10~10-1/1 ,,,,,
000000004378,,B001001,90344-OYSHO SH,Accounting-GL,API,SH,API 专有技术及技术服务 2018-10~10-1/2 ,,,,,
000000004379,,B001001,90344-OYSHO SH,Accounting-GL,API,SH,API 专有技术及技术服务 2018-10~10-2/2 ,,,,,
000000004380,,B001001,90185-ZARA SH,Accounting-GL,API,SH,API 显著标识 2018-10~10-1/1 ,,,,,
000000004381,,B001001,90185-ZARA SH,Accounting-GL,API,SH,API 咨询服务费 2018-10~10-1/1 ,,,,,
000000004382,,B001001,90185-ZARA SH,Accounting-GL,API,SH,API 专有技术及技术服务 2018-10~10-1/2 ,,,,,
000000004383,,B001001,90185-ZARA SH,Accounting-GL,API,SH,API 专有技术及技术服务 2018-10~10-2/2 ,,,,,
000000004384,,B001001,90185-ZARA SH,Accounting-GL,API,SH,API Stock purchase 2018-10~10-1/3 ,,,,,
000000004385,,B001001,90185-ZARA SH,Accounting-GL,API,SH,API Stock purchase 2018-10~10-2/3 ,,,,,
000000004386,,B001001,90185-ZARA SH,Accounting-GL,API,SH,API Stock purchase 2018-10~10-3/3 ,,,,,
000000004387,,B001001,90312-STR SH,Accounting-GL,API,SH,API Stock purchase 2018-10~10-1/1 ,,,,,
000000004388,,B001001,90269-PB BJ,Accounting-GL,API,BJ ,API Stock purchase 2018-10~10-1/1 ,,,,,
000000004434,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-1~1-1/1 ,,,,,
000000004435,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-2~2-1/1 ,,,,,
000000004436,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-3~3-1/1 ,,,,,
000000004437,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-4~4-1/1 ,,,,,
000000004438,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-5~5-1/1 ,,,,,
000000004439,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-6~6-1/1 ,,,,,
000000004440,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-7~7-1/1 ,,,,,
000000004441,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-8~8-1/1 ,,,,,
000000004442,,B001001,90304-MD SH,Accounting-GL,API,SH,API Stock purchase 2018-9~9-1/1 ,,,,,
000000004443,,B001001,90204-ZARA BJ,Accounting-GL,API,BJ ,API Stock purchase 2018-1~1-1/1 ,,,,,
000000004444,,B001001,90204-ZARA BJ,Accounting-GL,API,BJ ,API Stock purchase 2018-2~2-1/1 ,,,,,
