Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000004389,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-4~4-1/4 凭证号：83391-88761,,Iron Mountain,REMOVED,,
000000004390,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-4~4-2/4 凭证号：88762-121265,,Iron Mountain,REMOVED,,
000000004391,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-4~4-3/4 凭证号：121266-134097,,Iron Mountain,REMOVED,,
000000004392,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-4~4-4/4 凭证号：134098-134217,,Iron Mountain,REMOVED,,
000000004393,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-5~5-1/5 凭证号：121379-121445,,Iron Mountain,REMOVED,,
000000004394,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-5~5-2/5 凭证号：121446-143310,,Iron Mountain,REMOVED,,
000000004395,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-5~5-3/5 凭证号：143311-156942,,Iron Mountain,REMOVED,,
000000004396,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-5~5-4/5 凭证号：156943-170168,,Iron Mountain,REMOVED,,
000000004397,RF0001791545,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-5~5-5/5 凭证号：170169-170547,,Iron Mountain,REMOVED,,
000000004398,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-6~6-1/5 凭证号：151578-151641,,Iron Mountain,REMOVED,,
000000004399,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-6~6-2/5 凭证号：151642-173505,,Iron Mountain,REMOVED,,
000000004400,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-6~6-3/5 凭证号：173507-193465,,Iron Mountain,REMOVED,,
000000004401,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-6~6-4/5 凭证号：193466-204775,,Iron Mountain,REMOVED,,
000000004402,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-6~6-5/5 凭证号：204776-204923,,Iron Mountain,REMOVED,,
000000004403,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-7~7-1/4 凭证号：187398-187477,,Iron Mountain,REMOVED,,
000000004404,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-7~7-2/4 凭证号：187478-210853,,Iron Mountain,REMOVED,,
000000004405,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-7~7-3/4 凭证号：210854-239968,,Iron Mountain,REMOVED,,
000000004406,RF0001791546,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-7~7-4/4 凭证号：239969-240237,,Iron Mountain,REMOVED,,
000000004407,RF0001791547,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-8~8-1/5 凭证号：219678-225083,,Iron Mountain,REMOVED,,
000000004408,RF0001791547,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-8~8-2/5 凭证号：225084-245883,,Iron Mountain,REMOVED,,
000000004409,RF0001791547,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-8~8-3/5 凭证号：245884-262881,,Iron Mountain,REMOVED,,
000000004410,RF0001791547,A001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2016-8~8-4/5 凭证号：262882-273422,,Iron Mountain,REMOVED,,
