Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000005358,,A003001,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-1/11 ,,,,,
000000005359,,A003001,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-2/11 ,,,,,
000000005360,,A003001,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-3/11 ,,,,,
000000005361,,A003001,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-4/11 ,,,,,
000000005362,,A003001,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-5/11 ,,,,,
000000005363,,A003001,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-6/11 ,,,,,
000000005364,,A003001,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-7/11 ,,,,,
000000005365,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-8/11 ,,,,,
000000005366,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-9/11 ,,,,,
000000005367,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-10/11 ,,,,,
000000005368,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-04~04-11/11 ,,,,,
000000005369,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-03~03-1/12 ,,,,,
000000005370,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-03~03-2/12 ,,,,,
000000005371,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-03~03-3/12 ,,,,,
000000005372,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-03~03-4/12 ,,,,,
000000005373,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-03~03-5/12 ,,,,,
000000005374,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-03~03-6/12 ,,,,,
000000005375,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-03~03-7/12 ,,,,,
000000005376,,A003002,90402-RHQ,Accounting-Trade,RHQ,,RHQ Reimbursement 2019-03~03-8/12 ,,,,,
