Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000004288,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-5~5-1/7 ,,,,,
000000004289,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-5~5-2/7 ,,,,,
000000004290,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-5~5-3/7 ,,,,,
000000004291,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-5~5-4/7 ,,,,,
000000004292,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-5~5-5/7 ,,,,,
000000004293,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-5~5-6/7 ,,,,,
000000004294,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-5~5-7/7 ,,,,,
000000004295,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-6~6-1/7 ,,,,,
000000004296,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-6~6-2/7 ,,,,,
000000004297,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-6~6-3/7 ,,,,,
000000004298,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-6~6-4/7 ,,,,,
000000004299,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-6~6-5/7 ,,,,,
000000004300,,B004003,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-6~6-6/7 ,,,,,
000000004301,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-6~6-7/7 ,,,,,
000000004302,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-7~7-1/6 ,,,,,
000000004303,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-7~7-2/6 ,,,,,
000000004304,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-7~7-3/6 ,,,,,
000000004305,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-7~7-4/6 ,,,,,
000000004306,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-7~7-5/6 ,,,,,
000000004307,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-7~7-6/6 ,,,,,
000000004308,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-8~8-1/6 ,,,,,
000000004309,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-8~8-2/6 ,,,,,
000000004310,,B004004,90402-RHQ,Accounting-Trade,RHQ,,RHQ InterCo Sales 2018-8~8-3/6 ,,,,,
