Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000004544,,C001004,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-9~10-1 BNP 2018 SEP OCT,,,,,
000000004545,,C001004,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-11~11-1 BNP 2018 NOV,,,,,
000000004546,,C001004,90410-TMP,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-9~12-1 BNP 2018 SEP OCT NOV DEC,,,,,
000000004547,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-9~9-2 BNP 2018 SEP,,,,,
000000004548,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-10~10-1 BNP 2018 OCT,,,,,
000000004549,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-10~10-2 BNP 2018 OCT,,,,,
000000004550,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-11~11-1 BNP 2018 NOV,,,,,
000000004551,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-11~11-2 BNP 2018 NOV,,,,,
000000004552,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-11~11-3 BNP 2018 NOV,,,,,
000000004553,,C001003,90268-BSK BJ,Treasury,BAN,BJ,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004554,,C001003,90312-STR SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004555,,C001003,90346-ZARA HOME,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004556,,C001003,90269-PB BJ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004557,,C001003,90204-ZARA BJ,Treasury,BAN,BJ,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004558,,C001003,90344-OYSHO SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004559,,C001003,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-2 CITI 2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004773,,D004001,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-3~3-1 BNP 2019 MAR,,,,,
000000004774,,D004001,90410-TMP,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-1~12-1 BNP 2019 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004775,,D004001,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-2~2-1 BNP 2019 FEB,,,,,
000000004776,,D004001,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-2~2-2 BNP 2019 FEB,,,,,
000000004777,,D004001,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-1~1-1 BNP 2019 JAN,,,,,
000000004778,,D004001,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-1~1-2 BNP 2019 JAN,,,,,
000000004779,,D004001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-1~1-1 BNP 2019 JAN,,,,,
000000004780,,D004001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-2~2-1 BNP 2019 FEB,,,,,
000000004781,,D004001,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2019-3~3-1 BNP 2019 MAR,,,,,
000000004782,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-12~12-1 BNP 2018 DEC,,,,,
000000004783,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-12~12-2 BNP 2018 DEC,,,,,
000000004784,,C003005,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-9~9-1 BNP 2018 SEP,,,,,
000000004785,,C003005,90204-ZARA BJ,Treasury,BAN,BJ,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 BNP  2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004786,,C001004,90402-RHQ,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-12~12-3 BNP 2018 DEC,,,,,
000000004787,,C003005,90410-TMP,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-12~12-1 BNP 2018 DEC,,,,,
000000004788,,C003005,90185-ZARA SH,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-12~12-1 BNP 2018 DEC,,,,,
000000004789,,D002001,90517-Tempe DG RO,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI  2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
000000004790,,D002001,90410-TMP DG BR,Treasury,BAN,SH,BAN Bank files (statement/debit note/etc.) 2018-1~12-1 CITI  2018 JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,,,,,
