Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000001278,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-12-4/4,,,IN,,2018-05-01 06:23:59 UTC
000000001277,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-12-3/4,,,IN,,2018-05-01 06:23:59 UTC
000000001276,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-12-2/4,,,IN,,2018-05-01 06:23:59 UTC
000000001275,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-12-1/4,,,IN,,2018-05-01 06:23:58 UTC
000000001274,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-11-4/4,,,IN,,2018-05-01 06:23:58 UTC
000000001273,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-11-3/4,,,IN,,2018-05-01 06:23:58 UTC
000000001272,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-11-2/4,,,IN,,2018-05-01 06:23:58 UTC
000000001271,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-11-1/4,,,IN,,2018-05-01 06:23:58 UTC
000000001270,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-10-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001269,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-10-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001268,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-10-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001267,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-09-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001266,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-09-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001265,,S004004,90304-MD SH,Accounting-AP,APG,SH,2016-09-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001264,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-08-4/4,,,IN,,2018-05-01 06:23:58 UTC
000000001263,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-08-3/4,,,IN,,2018-05-01 06:23:58 UTC
000000001262,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-08-2/4,,,IN,,2018-05-01 06:23:58 UTC
000000001261,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-08-1/4,,,IN,,2018-05-01 06:23:58 UTC
000000001260,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-07-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001259,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-07-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001258,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-07-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001257,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-06-4/4,,,IN,,2018-05-01 06:23:58 UTC
000000001256,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-06-3/4,,,IN,,2018-05-01 06:23:58 UTC
000000001255,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-06-2/4,,,IN,,2018-05-01 06:23:58 UTC
000000001254,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-06-1/4,,,IN,,2018-05-01 06:23:58 UTC
000000001253,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-05-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001252,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-05-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001251,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-05-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001250,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-01-5/5,,,IN,,2018-05-01 06:23:58 UTC
000000001249,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-01-4/5,,,IN,,2018-05-01 06:23:58 UTC
000000001248,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-01-3/5,,,IN,,2018-05-01 06:23:58 UTC
000000001247,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-01-2/5,,,IN,,2018-05-01 06:23:58 UTC
000000001246,,S004003,90304-MD SH,Accounting-AP,APG,SH,2016-01-1/5,,,IN,,2018-05-01 06:23:58 UTC
000000001245,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-11-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001244,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-11-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001243,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-11-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001242,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-10-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001241,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-10-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001240,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-10-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001239,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-09-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001238,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-09-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001237,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-09-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001236,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-08-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001235,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-08-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001234,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-08-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001233,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-07-4/4,,,IN,,2018-05-01 06:23:58 UTC
000000001232,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-07-3/4,,,IN,,2018-05-01 06:23:58 UTC
000000001231,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-07-2/4,,,IN,,2018-05-01 06:23:58 UTC
000000001230,,S004002,90304-MD SH,Accounting-AP,APG,SH,2017-07-1/4,,,IN,,2018-05-01 06:23:58 UTC
000000001229,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-06-2/2,,,IN,,2018-05-01 06:23:58 UTC
000000001228,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-06-1/2,,,IN,,2018-05-01 06:23:58 UTC
000000001227,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-05-4/4,,,IN,,2018-05-01 06:23:58 UTC
000000001226,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-05-3/4,,,IN,,2018-05-01 06:23:58 UTC
000000001225,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-05-2/4,,,IN,,2018-05-01 06:23:58 UTC
000000001224,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-05-1/4,,,IN,,2018-05-01 06:23:58 UTC
000000001223,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-04-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001222,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-04-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001221,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-04-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001220,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-03-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001219,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-03-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001218,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-03-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001217,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-02-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001216,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-02-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001215,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-02-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001214,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-01-4/4,,,IN,,2018-05-01 06:23:58 UTC
000000001213,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-01-3/4,,,IN,,2018-05-01 06:23:58 UTC
000000001212,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-01-2/4,,,IN,,2018-05-01 06:23:58 UTC
000000001211,,S004001,90304-MD SH,Accounting-AP,APG,SH,2017-01-1/4,,,IN,,2018-05-01 06:23:58 UTC
000000001210,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-12-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001209,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-12-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001208,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-12-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001207,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-11-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001206,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-11-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001205,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-11-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001204,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-10-2/2,,,IN,,2018-05-01 06:23:58 UTC
000000001203,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-10-1/2,,,IN,,2018-05-01 06:23:58 UTC
000000001202,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-09-2/2,,,IN,,2018-05-01 06:23:58 UTC
000000001201,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-09-1/2,,,IN,,2018-05-01 06:23:58 UTC
000000001200,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-08-2/2,,,IN,,2018-05-01 06:23:58 UTC
000000001199,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-08-1/2,,,IN,,2018-05-01 06:23:58 UTC
000000001198,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-07-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001197,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-07-2/3,,,IN,,2018-05-01 06:23:58 UTC
000000001196,,S003004,90312-STR SH,Accounting-AP,APG,SH,2017-07-1/3,,,IN,,2018-05-01 06:23:58 UTC
000000001195,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-06-2/2,,,IN,,2018-05-01 06:23:58 UTC
000000001194,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-06-1/2,,,IN,,2018-05-01 06:23:58 UTC
000000001193,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-05-3/3,,,IN,,2018-05-01 06:23:58 UTC
000000001192,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-05-2/3,,,IN,,2018-05-01 06:23:57 UTC
000000001191,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-05-1/3,,,IN,,2018-05-01 06:23:57 UTC
000000001190,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-04-2/2,,,IN,,2018-05-01 06:23:57 UTC
000000001189,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-04-1/2,,,IN,,2018-05-01 06:23:57 UTC
000000001188,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-03-3/3,,,IN,,2018-05-01 06:23:57 UTC
000000001187,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-03-2/3,,,IN,,2018-05-01 06:23:57 UTC
000000001186,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-03-1/3,,,IN,,2018-05-01 06:23:57 UTC
000000001185,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-02-3/3,,,IN,,2018-05-01 06:23:57 UTC
000000001184,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-02-2/3,,,IN,,2018-05-01 06:23:57 UTC
000000001183,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-02-1/3,,,IN,,2018-05-01 06:23:57 UTC
000000001182,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-01-3/3,,,IN,,2018-05-01 06:23:57 UTC
000000001181,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-01-2/3,,,IN,,2018-05-01 06:23:57 UTC
000000001180,,S003003,90312-STR SH,Accounting-AP,APG,SH,2017-01-1/3,,,IN,,2018-05-01 06:23:57 UTC
000000001179,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-12-3/3,,,IN,,2018-05-01 06:23:57 UTC
000000001178,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-12-2/3,,,IN,,2018-05-01 06:23:57 UTC
000000001177,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-12-1/3,,,IN,,2018-05-01 06:23:57 UTC
000000001176,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-11-2/2,,,IN,,2018-05-01 06:23:57 UTC
000000001175,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-11-1/2,,,IN,,2018-05-01 06:23:57 UTC
000000001174,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-10-2/2,,,IN,,2018-05-01 06:23:57 UTC
000000001173,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-10-1/2,,,IN,,2018-05-01 06:23:57 UTC
000000001172,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-09-3/3,,,IN,,2018-05-01 06:23:57 UTC
000000001171,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-09-2/3,,,IN,,2018-05-01 06:23:57 UTC
000000001170,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-09-1/3,,,IN,,2018-05-01 06:23:57 UTC
000000001169,,S003002,90389-E-COM,Accounting-AP,APG,SH,2017-08-2/2,,,IN,,2018-05-01 06:23:57 UTC
