Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return time,Status
1,000000000001,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-01-1/4,,
2,000000000002,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-01-2/4,,
3,000000000003,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-01-3/4,,
4,000000000004,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-01-4/4,,
5,000000000005,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-02-1/4,,
6,000000000006,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-02-2/4,,
7,000000000007,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-02-3/4,,
8,000000000008,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-02-4/4,,
9,000000000009,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-03-1/4,,
10,000000000010,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-03-2/4,,
11,000000000011,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-03-3/4,,
12,000000000012,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-03-4/4,,
13,000000000013,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-04-1/4,,
14,000000000014,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-04-2/4,,
15,000000000015,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-04-3/4,,
16,000000000016,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-04-4/4,,
17,000000000017,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-05-1/4,,
18,000000000018,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-05-2/4,,
19,000000000019,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-05-3/4,,
20,000000000020,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-05-4/4,,
21,000000000021,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-06-1/4,,
22,000000000022,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-06-2/4,,
23,000000000023,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-06-3/4,,
24,000000000024,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-06-4/4,,
25,000000000025,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-07-1/3,,
26,000000000026,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-07-2/3,,
27,000000000027,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-07-3/3,,
28,000000000028,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-08-1/3,,
29,000000000029,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-08-2/3,,
30,000000000030,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-08-3/3,,
31,000000000031,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-09-1/3,,
32,000000000032,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-09-2/3,,
33,000000000033,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-09-3/3,,
34,000000000034,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-10-1/3,,
35,000000000035,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-10-2/3,,
36,000000000036,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-10-3/3,,
37,000000000037,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-12-1/4,,
38,000000000038,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-12-2/4,,
39,000000000039,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-12-3/4,,
40,000000000040,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,GL 2017-12-4/4,,
41,000000000041,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,Recharge 2016-01~12,,
42,000000000042,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,Recharge 2017-01~03,,
43,000000000043,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,Recharge 2017-04~06,,
44,000000000044,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,Recharge 2017-07~09,,
45,000000000045,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,Recharge 2017-10~12,,
46,000000000046,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-01-1/3,,
47,000000000047,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-01-2/3,,
48,000000000048,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-01-3/3,,
49,000000000049,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-02-1/3,,
50,000000000050,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-02-2/3,,
51,000000000051,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-02-3/3,,
52,000000000052,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-03-1/2,,
53,000000000053,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-03-2/2,,
54,000000000054,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-04-1/3,,
55,000000000055,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-04-2/3,,
56,000000000056,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-04-3/3,,
57,000000000057,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-05-1/3,,
58,000000000058,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-05-2/3,,
59,000000000059,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-05-3/3,,
60,000000000060,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-06-1/3,,
61,000000000061,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-06-2/3,,
62,000000000062,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-06-3/3,,
63,000000000063,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-07-1/2,,
64,000000000064,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-07-2/2,,
65,000000000065,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-08-1/2,,
66,000000000066,A001004,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-08-2/2,,
67,000000000067,A001005,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-09-1/3,,
68,000000000068,A001005,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-09-2/3,,
69,000000000069,A001005,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-09-3/3,,
70,000000000070,A001005,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-10-1/3,,
71,000000000071,A001005,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-10-2/3,,
72,000000000072,A001005,90474-CDC,Accounting-Trade,CDC,SH,GL 2017-10-3/3,,
73,000000000073,A002001,90474-CDC,Accounting-Trade,CDC,SH,AP 2017-01-1/2,,
74,000000000074,A002001,90474-CDC,Accounting-Trade,CDC,SH,AP 2017-01-2/2,,
75,000000000075,A002001,90474-CDC,Accounting-Trade,CDC,SH,AP 2017-02,,
76,000000000076,A002001,90474-CDC,Accounting-Trade,CDC,SH,AP 2017-03,,
77,000000000077,A002001,90474-CDC,Accounting-Trade,CDC,SH,AP 2017-04,,
78,000000000078,A002001,90474-CDC,Accounting-Trade,CDC,SH,AP 2017-05,,
79,000000000079,A002001,90474-CDC,Accounting-Trade,CDC,SH,AP 2017-06,,
80,000000000080,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-01,,
81,000000000081,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-02,,
82,000000000082,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-03,,
83,000000000083,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-04,,
84,000000000084,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-05,,
85,000000000085,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-06,,
86,000000000086,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-07,,
87,000000000087,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-08,,
88,000000000088,A002001,90474-CDC,Accounting-Trade,CDC,SH,Export Sales 2017-09,,
89,000000000089,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-1/12,,
90,000000000090,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-2/12,,
91,000000000091,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-3/12,,
92,000000000092,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-4/12,,
93,000000000093,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-5/12,,
94,000000000094,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-6/12,,
95,000000000095,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-7/12,,
96,000000000096,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-8/12,,
97,000000000097,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-9/12,,
98,000000000098,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-10/12,,
99,000000000099,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-11/12,,
100,000000000100,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-01-12/12,,
101,000000000101,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-02-1/9,,
102,000000000102,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-02-2/9,,
103,000000000103,A003001,90402-RHQ,Accounting-Trade,RHQ,SH,DP 2017-02-3/9,,
