Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return time,Status
,000000001279,S005001,NONE,Accounting-AP,APG,,Utility Billings 2013-09,,
,000000001280,S005001,NONE,Accounting-AP,APG,,Utility Billings 2013-10~11,,
,000000001281,S005001,NONE,Accounting-AP,APG,,Utility Billings 2013-12,,
,000000001282,S005001,NONE,Accounting-AP,APG,,Utility Billings 2014-01~02,,
,000000001283,S005001,NONE,Accounting-AP,APG,,Utility Billings 2014-03~04,,
,000000001284,S005001,NONE,Accounting-AP,APG,,Utility Billings 2014-05~06,,
,000000001285,S005001,NONE,Accounting-AP,APG,,Utility Billings 2014-07~08,,
,000000001286,S005001,NONE,Accounting-AP,APG,,Utility Billings 2014-09~10,,
,000000001287,S005002,NONE,Accounting-AP,APG,,Utility Billings 2014-11,,
,000000001288,S005002,NONE,Accounting-AP,APG,,Utility Billings 2014-12,,
,000000001289,S005002,NONE,Accounting-AP,APG,,Utility Billings 2015-01,,
,000000001290,S005002,NONE,Accounting-AP,APG,,Utility Billings 2015-02,,
,000000001291,S005002,NONE,Accounting-AP,APG,,Utility Billings 2015-03,,
,000000001292,S005002,NONE,Accounting-AP,APG,,Utility Billings 2015-04,,
,000000001293,S005002,NONE,Accounting-AP,APG,,Utility Billings 2016-01,,
,000000001294,S005002,NONE,Accounting-AP,APG,,Utility Billings 2016-02,,
,000000001295,S005003,NONE,Accounting-AP,APG,,Utility Billings 2016-03,,
,000000001296,S005003,NONE,Accounting-AP,APG,,Utility Billings 2016-04,,
,000000001297,S005003,NONE,Accounting-AP,APG,,Utility Billings 2016-05,,
,000000001298,S005003,NONE,Accounting-AP,APG,,Utility Billings 2016-06,,
,000000001299,S005003,NONE,Accounting-AP,APG,,Utility Billings 2016-07,,
,000000001300,S005003,NONE,Accounting-AP,APG,,Utility Billings 2016-08,,
,000000001301,S005003,NONE,Accounting-AP,APG,,Utility Billings 2016-09,,
,000000001302,S005003,NONE,Accounting-AP,APG,,Utility Billings 2016-10,,
,000000001303,S005004,NONE,Accounting-AP,APG,,Utility Billings 2016-11,,
,000000001304,S005004,NONE,Accounting-AP,APG,,Utility Billings 2016-12,,
,000000001305,S005004,NONE,Accounting-AP,APG,,Utility Billings 2017-01,,
,000000001306,S005004,NONE,Accounting-AP,APG,,Utility Billings 2017-02,,
,000000001307,S005004,NONE,Accounting-AP,APG,,Utility Billings 2017-03,,
,000000001308,S005004,NONE,Accounting-AP,APG,,Utility Billings 2017-04,,
,000000001309,S005004,NONE,Accounting-AP,APG,,Utility Billings 2017-05,,
,000000001310,S005004,NONE,Accounting-AP,APG,,Utility Billings 2017-06,,
,000000001311,S005005,NONE,Accounting-AP,APG,,Utility Billings 2017-07,,
,000000001312,S005005,NONE,Accounting-AP,APG,,Utility Billings 2017-08,,
,000000001313,S005005,NONE,Accounting-AP,APG,,Utility Billings 2017-09,,
,000000001314,S005005,NONE,Accounting-AP,APG,,Utility Billings 2017-10,,
,000000001315,S005005,NONE,Accounting-AP,APG,,Utility Billings 2017-11,,
,000000001316,S005005,NONE,Accounting-AP,APG,,Utility Billings 2017-12,,
,000000001320,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-001~005,,
,000000001321,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-006~010,,
,000000001322,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-011~015,,
,000000001323,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-016~020,,
,000000001324,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-021~025,,
,000000001325,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-026~030,,
,000000001326,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-031~035,,
,000000001327,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-036~040,,
,000000001328,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-041~045,,
,000000001329,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-046~050,,
,000000001330,T001003,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-051~055,,
,000000001331,T001004,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-056~060,,
,000000001332,T001004,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-061~065,,
,000000001333,T001004,90304-MD SH,Accounting-AP,RC,SH,Rental Contract R6-066~070,,
