Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000003868,,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2018-11~11-1/3 ,,,,,
000000003869,,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2018-11~11-2/3 ,,,,,
000000003870,,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2018-11~11-3/3 ,,,,,
000000003871,,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2018-12~12-1/3 ,,,,,
000000003872,,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2018-12~12-2/3 ,,,,,
000000003873,,A001005,90474-CDC,Accounting-Trade,CDC,SH,CDC GL 2018-12~12-3/3 ,,,,,
000000003874,,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2018-11~11-1/4 ,,,,,
000000003875,,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2018-11~11-2/4 ,,,,,
000000003876,,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2018-11~11-3/4 ,,,,,
000000003877,,A001003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2018-11~11-4/4 ,,,,,
,,,,,,,,,,,,
