Id,Code,Storage,Legal entity,Team,Team type,City,Description,Last return time,Status,,,
,000000001712,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-10~10-1/8 ,,,,,
,000000001713,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-10~10-2/8 ,,,,,
,000000001714,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-10~10-3/8 ,,,,,
,000000001715,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-10~10-4/8 ,,,,,
,000000001716,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-10~10-5/8 ,,,,,
,000000001717,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-10~10-6/8 ,,,,,
,000000001718,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-10~10-7/8 ,,,,,
,000000001719,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-10~10-8/8 ,,,,,
,000000001720,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-1/9 ,,,,,
,000000001721,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-2/9 ,,,,,
,000000001722,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-3/9 ,,,,,
,000000001723,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-4/9 ,,,,,
,000000001724,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-5/9 ,,,,,
,000000001725,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-6/9 ,,,,,
,000000001726,A005005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-7/9 ,,,,,
,000000001727,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-8/9 ,,,,,
,000000001728,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-11~11-9/9 ,,,,,
,000000001729,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-12~12-1/8 ,,,,,
,000000001730,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-12~12-2/8 ,,,,,
,000000001731,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-12~12-3/8 ,,,,,
,000000001732,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-12~12-4/8 ,,,,,
,000000001733,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-12~12-5/8 ,,,,,
,000000001734,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-12~12-6/8 ,,,,,
,000000001735,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-12~12-7/8 ,,,,,
,000000001736,A006001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-12~12-8/8 ,,,,,
,000000001737,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-1/19 ,,,,,
,000000001738,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-2/19 ,,,,,
,000000001739,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-3/19 ,,,,,
,000000001740,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-4/19 ,,,,,
,000000001741,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-5/19 ,,,,,
,000000001742,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-6/19 ,,,,,
,000000001743,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-7/19 ,,,,,
,000000001744,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-8/19 ,,,,,
,000000001745,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-9/19 ,,,,,
,000000001746,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-10/19 ,,,,,
,000000001747,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-11/19 ,,,,,
,000000001748,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-12/19 ,,,,,
,000000001749,A003004,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-13/19 ,,,,,
,000000001750,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-14/19 ,,,,,
,000000001751,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-15/19 ,,,,,
,000000001752,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-16/19 ,,,,,
,000000001753,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-17/19 ,,,,,
,000000001754,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-18/19 ,,,,,
,000000001755,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-10~10-19/19 ,,,,,
,000000001756,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-1/28 ,,,,,
,000000001757,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-2/28 ,,,,,
,000000001758,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-3/28 ,,,,,
,000000001759,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-4/28 ,,,,,
,000000001760,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-5/28 ,,,,,
,000000001761,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-6/28 ,,,,,
,000000001762,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-7/28 ,,,,,
,000000001763,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-8/28 ,,,,,
,000000001764,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-9/28 ,,,,,
,000000001765,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-10/28 ,,,,,
,000000001766,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-11/28 ,,,,,
,000000001767,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-12/28 ,,,,,
,000000001768,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-13/28 ,,,,,
,000000001769,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-14/28 ,,,,,
,000000001770,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-15/28 ,,,,,
,000000001771,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-16/28 ,,,,,
,000000001772,A003005,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-17/28 ,,,,,
,000000001773,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-18/28 ,,,,,
,000000001774,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-19/28 ,,,,,
,000000001775,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-20/28 ,,,,,
,000000001776,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-21/28 ,,,,,
,000000001777,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-22/28 ,,,,,
,000000001778,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-23/28 ,,,,,
,000000001779,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-24/28 ,,,,,
,000000001780,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-25/28 ,,,,,
,000000001781,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-26/28 ,,,,,
,000000001782,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-27/28 ,,,,,
,000000001783,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-11~11-28/28 ,,,,,
,000000001784,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-1/30 ,,,,,
,000000001785,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-2/30 ,,,,,
,000000001786,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-3/30 ,,,,,
,000000001787,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-4/30 ,,,,,
,000000001788,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-5/30 ,,,,,
,000000001789,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-6/30 ,,,,,
,000000001790,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-7/30 ,,,,,
,000000001791,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-8/30 ,,,,,
,000000001792,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-9/30 ,,,,,
,000000001793,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-10/30 ,,,,,
,000000001794,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-11/30 ,,,,,
,000000001795,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-12/30 ,,,,,
,000000001796,A004001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-12~12-13/30 ,,,,,
