Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Status,Create date,Updated at
000000003380,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-1~1-1/3 凭证号：50-1945,,,,
000000003381,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-1~1-2/3 凭证号：1946-15458,,,,
000000003382,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-1~1-3/3 凭证号：15459-33043,,,,
000000003383,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-2~2-1/3 凭证号：10304-32983,,,,
000000003384,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-2~2-2/3 凭证号：32984-43491,,,,
000000003385,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-2~2-3/3 凭证号：43492-58704,,,,
000000003386,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-3~3-1/3 凭证号：41711-58703,,,,
000000003387,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-3~3-2/3 凭证号：59698-72727,,,,
000000003388,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-3~3-3/3 凭证号：72728-85305,,,,
000000003389,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-4~4-1/4 凭证号：71008-85286,,,,
000000003390,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-4~4-2/4 凭证号：85287-87627,,,,
000000003391,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-4~4-3/4 凭证号：87628-114222,,,,
000000003392,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-4~4-4/4 凭证号：114223-114749,,,,
000000003393,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-5~5-1/4 凭证号：99997-114310,,,,
000000003394,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-5~5-2/4 凭证号：114311-117946,,,,
000000003395,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-5~5-3/4 凭证号：111947-141424,,,,
000000003396,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-5~5-4/4 凭证号：141425-141539,,,,
000000003397,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-6~6-1/4 凭证号：123335-141504,,,,
000000003398,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-6~6-2/4 凭证号：141505-150389,,,,
000000003399,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-6~6-3/4 凭证号：150390-173530,,,,
000000003400,,S004006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-6~6-4/4 凭证号：173531-173637,,,,
000000003401,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-7~7-1/4 凭证号：157113-173618,,,,
000000003402,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-7~7-2/4 凭证号：173619-175652,,,,
000000003403,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-7~7-3/4 凭证号：175654-213567,,,,
000000003404,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-7~7-4/4 凭证号：213568-213672,,,,
000000003405,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-8~8-1/4 凭证号：198240-209067,,,,
000000003406,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-8~8-2/4 凭证号：209068-219376,,,,
000000003407,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-8~8-3/4 凭证号：219377-242672,,,,
000000003408,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-8~8-4/4 凭证号：242673-242771,,,,
000000003409,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-9~9-1/4 凭证号：222390-244013,,,,
000000003410,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-9~9-2/4 凭证号：244014-256413,,,,
000000003411,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-9~9-3/4 凭证号：256414-270387,,,,
000000003412,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-9~9-4/4 凭证号：270388-270611,,,,
000000003413,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-10~10-1/4 凭证号：253996-270201,,,,
000000003414,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-10~10-2/4 凭证号：270202-292687,,,,
000000003415,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-10~10-3/4 凭证号：292688-307130,,,,
000000003416,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-10~10-4/4 凭证号：307131-307226,,,,
000000003417,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-11~11-1/4 凭证号：292081-292873,,,,
000000003418,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-11~11-2/4 凭证号：294308-312372,,,,
000000003419,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-11~11-3/4 凭证号：312373-337368,,,,
000000003420,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-11~11-4/4 凭证号：337369-337520,,,,
000000003421,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-12~12-1/4 凭证号：324007-337461,,,,
000000003422,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-12~12-2/4 凭证号：337462-339719,,,,
000000003423,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-12~12-3/4 凭证号：349368-369598,,,,
000000003424,,R001006,90185-ZARA SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-12~12-4/4 凭证号：369599-369836,,,,
000000003425,,R001006,90417-BSK SH,Accounting-AP,APG,SH,APG Rental Accounting voucher 2015-1~12-1 凭证号：66-4743,,,,
000000003426,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-1~1-1/2 凭证号：15-862,,,,
000000003427,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-1~1-2/2 凭证号：3842-11908,,,,
000000003428,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-2~2-1/2 凭证号：3858-13180,,,,
000000003429,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-2~2-2/2 凭证号：13181-22460,,,,
000000003430,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-3~3-1/2 凭证号：15361-23906,,,,
000000003431,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-3~3-2/2 凭证号：23907-33125,,,,
000000003432,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-4~4-1/2 凭证号：27122-38793,,,,
000000003433,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-4~4-2/2 凭证号：38794-45393,,,,
000000003434,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-5~5-1/2 凭证号：38796-47718,,,,
000000003435,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-5~5-2/2 凭证号：47719-56426,,,,
000000003436,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-6~6-1/2 凭证号：48745-59853,,,,
000000003437,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-6~6-2/2 凭证号：59854-68847,,,,
000000003438,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-7~7-1/2 凭证号：61756-69671,,,,
000000003439,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-7~7-2/2 凭证号：69672-84861,,,,
000000003440,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-8~8-1/2 凭证号：76652-87556,,,,
000000003441,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-8~8-2/2 凭证号：87557-98357,,,,
000000003442,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-9~9-1/2 凭证号：89741-100310,,,,
000000003443,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-9~9-2/2 凭证号：100311-111092,,,,
000000003444,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-10~10-1/2 凭证号：104250-114355,,,,
000000003445,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-10~10-2/2 凭证号：114356-127483,,,,
000000003446,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-11~11-1/2 凭证号：121336-128138,,,,
000000003447,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-11~11-2/2 凭证号：128139-140484,,,,
000000003448,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-12~12-1/2 凭证号：133523-148109,,,,
000000003449,,R002006,90204-ZARA BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-12~12-2/2 凭证号：148110-154992,,,,
000000003450,,R003006,90269-PB BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-1~1-1/2 凭证号：10-769,,,,
000000003451,,R003006,90269-PB BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-1~1-2/2 凭证号：3732-12554,,,,
000000003452,,R003006,90269-PB BJ,Accounting-AP,APG,BJ,APG Rental Accounting voucher 2015-2~2-1/2 凭证号：3736-14099,,,,
