Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000001656,,G006004,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Hangzhou Sino Ocean,,,IN,,2018-05-22 09:40:22 UTC
000000001657,,G003004,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001658,,G003004,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001659,,G003005,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001660,,G003005,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001661,,G003002,90185-ZARA SH,Tax,TAX,SH,TAX TAX 2014-01~12-1/1 非贸付汇申报资料（原件）,,,IN,,2018-05-22 09:40:52 UTC
000000001662,,G003002,90346-ZARA HOME,Tax,TAX,SH,TAX TAX 2012-01~12-1/1 非贸付汇申报资料（原件）,,,IN,,2018-05-22 09:40:52 UTC
000000001663,,G003002,90344-OYSHO SH,Tax,TAX,SH,TAX TAX 2012-01~12-1/1 非贸付汇申报资料（原件）,,,IN,,2018-05-22 09:40:52 UTC
000000001664,,G003002,NONE,Tax,TAX,SH,TAX TAX 2014-01~12-1/1 非贸付汇申报资料（复印件）,,,IN,,2018-05-22 09:40:52 UTC
000000001665,,G003002,90185-ZARA SH,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 免税备案（2015年度）,,,IN,,2018-05-22 09:40:52 UTC
000000001666,,G004003,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001667,,G004003,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001668,,G004004,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001669,,G004004,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001670,,G004005,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001671,,G004005,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001672,,G005003,90474-CDC,Tax,TAX,SH,TAX TAX 2016-01~12-1/1 CDC 免税资料,,,IN,,2018-05-22 09:40:52 UTC
000000001673,,G005003,NONE,Tax,TAX,SH,TAX TAX 2015-01~12-1/1 TMP 出口退税,,,IN,,2018-05-22 09:40:52 UTC
000000001674,,G006002,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Ninbo SZITIC,,,IN,,2018-05-22 09:40:52 UTC
000000001675,,G006002,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Ninbo Romon Mall,,,IN,,2018-05-22 09:40:52 UTC
000000001676,,G006002,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Nantong CenturyPlaza,,,IN,,2018-05-22 09:40:52 UTC
000000001677,,G006002,NONE,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Nanning JiangnanWanda Mix City QingxiuWanda,,,IN,,2018-05-22 09:40:52 UTC
000000001901,,G006002,90410-TMP,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Ninbo SZITIC,,,IN,,2018-06-14 08:49:00 UTC
000000001902,,G006002,90410-TMP,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Ninbo Romon Mall,,,IN,,2018-06-14 08:49:16 UTC
000000001903,,G006002,90410-TMP,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Nantong CenturyPlaza,,,IN,,2018-06-14 08:49:31 UTC
000000001904,,G006002,90410-TMP,Tax,TAX,SH,TAX TAX 2018-01~12-1/1 Nanning JiangnanWanda Mix City QingxiuWanda,,,IN,,2018-06-14 08:49:47 UTC
000000002502,,G006004,90402-RHQ,Tax,TAX,SH,TAX Tax filing documents 2018-01~12-1 ,,,IN,,2018-06-14 08:16:25 UTC
000000002503,,G006004,NONE,Tax,TAX,SH,TAX Tax filing documents 2018-01~12-1 Tianjin Aquacity,,,IN,,2018-06-14 08:16:51 UTC
