Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000004180,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-1/11 ,,,,,
000000004181,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-2/11 ,,,,,
000000004182,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-3/11 ,,,,,
000000004183,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-4/11 ,,,,,
000000004184,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-5/11 ,,,,,
000000004185,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-6/11 ,,,,,
000000004186,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-7/11 ,,,,,
000000004187,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-8/11 ,,,,,
000000004188,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-9/11 ,,,,,
000000004189,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-10/11 ,,,,,
000000004190,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-04~04-11/11 ,,,,,
000000004191,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-1/10 ,,,,,
000000004192,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-2/10 ,,,,,
000000004193,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-3/10 ,,,,,
000000004194,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-4/10 ,,,,,
000000004195,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-5/10 ,,,,,
000000004196,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-6/10 ,,,,,
000000004197,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-7/10 ,,,,,
000000004198,,B006002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-8/10 ,,,,,
000000004199,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-9/10 ,,,,,
000000004200,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-05~05-10/10 ,,,,,
000000004201,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-1/12 ,,,,,
000000004202,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-2/12 ,,,,,
000000004203,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-3/12 ,,,,,
000000004204,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-4/12 ,,,,,
000000004205,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-5/12 ,,,,,
000000004206,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-6/12 ,,,,,
000000004207,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-7/12 ,,,,,
000000004208,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-8/12 ,,,,,
000000004209,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-9/12 ,,,,,
000000004210,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-10/12 ,,,,,
000000004211,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-11/12 ,,,,,
000000004212,,B006003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2018-06~06-12/12 ,,,,,
000000004213,,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Reimbursement 2018-01~03-1/1 ,,,,,
000000004214,,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export 2018-04~04-1/1 ,,,,,
000000004215,,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export 2018-05~05-1/1 ,,,,,
000000004216,,A002001,90474-CDC,Accounting-Trade,CDC,SH,CDC Export 2018-06~06-1/1 ,,,,,
000000004217,,B005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Export 2018-04~04-1/10 ,,,,,
000000004218,,B005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Export 2018-04~04-2/10 ,,,,,
000000004219,,B005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Export 2018-04~04-3/10 ,,,,,
000000004220,,B005002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Export 2018-04~04-4/10 ,,,,,
