Code,File Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000000001,SHA0000211001,SH1813000,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-01~01-1/4 ,2018/7/27,,IN,,2018/7/27 16:18
000000000002,SHA0000211002,SH1813000,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-01~01-2/4 ,2018/7/27,,IN,,2018/7/27 16:19
000000000003,SHA0000211003,SH1813000,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-01~01-3/4 ,,,IN,,2018/6/26 16:59
000000000004,SHA0000211004,SH1813000,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-01~01-4/4 ,,,IN,,2018/6/26 16:59
000000000005,SHA0000211005,SH1813000,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-02~02-1/4 ,,,IN,,2018/6/26 16:59
000000000006,SHA0000211006,SH1813000,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-02~02-2/4 ,,,IN,,2018/6/26 16:59
000000000007,SHA0000211007,SH1813001,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-02~02-3/4 ,,,IN,,2018/6/26 16:59
000000000008,SHA0000211008,SH1813001,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-02~02-4/4 ,,,IN,,2018/6/26 16:59
000000000009,SHA0000211009,SH1813001,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-03~03-1/4 ,,,IN,,2018/6/26 16:59
000000000010,SHA0000211010,SH1813001,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-03~03-2/4 ,,,IN,,2018/6/26 16:59
000000000011,SHA0000211011,SH1813001,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-03~03-3/4 ,,,IN,,2018/6/26 16:59
000000000012,SHA0000211012,SH1813001,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-03~03-4/4 ,,,IN,,2018/6/26 16:59
000000000013,SHA0000211013,SH1813002,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-04~04-1/4 ,,,IN,,2018/6/26 16:59
000000000014,SHA0000211014,SH1813002,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-04~04-2/4 ,,,IN,,2018/6/26 16:59
000000000015,SHA0000211015,SH1813002,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-04~04-3/4 ,,,IN,,2018/6/26 16:59
000000000016,SHA0000211016,SH1813002,A001001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-04~04-4/4 ,,,IN,,2018/6/26 16:59
000000000017,SHA0000211017,SH1813002,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-05~05-1/4 ,,,IN,,2018/6/26 16:59
000000000018,SHA0000211018,SH1813002,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-05~05-2/4 ,,,IN,,2018/6/26 16:59
000000000019,SHA0000211019,SH1813002,A001002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ GL 2017-05~05-3/4 ,,,IN,,2018/6/26 16:59
